Material;Rstd;lenght_std
outside;0,03;0
Wood_bevel_lapped;0,14;13
13mm_fiberboard;0,23;13
Wood_stud;0,63;90
13mm_gypsum;0,079;13
Glass_fiber_ins;0,7;25
Inside_air;0,12;0
