Material;StResistance;StThickness
OutsideSurface;0,03;0
WoodBevelLapped;0,14;13
Fiberboard;0,23;13
GlassFiberInsulation;0,7;25
WoodStuds;0,63;90
Gypsum;0,079;13
InsideSurface;0,12;0
